score,sentence
1,Emma mange une pomme. 
1,J'ai visité la Tour Eiffel le dimanche dernier.
1,Le livre a été lu par ma sœur.
1,Il ne faut pas faire des bêtises.
1,Maman ma dit de ne pas regarder trop de télévision.
1,"Mon ami Pierre aime les tomates, mais il n'aime pas les avocats."
1,Je voudrais aller au Japon pendants les vacances. 
1,Sais-tu où est mon chien? 
1,Élise ma raconté qu'elle avait passé ses vacances en Cannes. 
1,Henri ne sais pas pourquoi sa copine est en colère.
1,Comment vas-tu?
1,"Je vais bien, mais je suis un peu fatigué."
1,Sam a peur.
1,Je ne veus pas manger ce fromage.
1,Thomas a oublié d'acheter du jus d'orange quand il a fait les courses.
1,"Adelina a un problème, elle ne sait pas nager. "
1,Est-ce que je peux avoir de la pomme purée s'il vous plaît.
1,Je t'aime ma chérie. 
1,Je pensais que c'était fini.
1,Qui est Alice? 
1,Vous allez devoir apprendre. 
1,Je conduis la voiture. 
1,Justine conduit la voiture jusqu'a Paris.
1,"Je vais mieux, merci."
1,Tu as de la chance.
1,Qu'est-ce qu tu manges?
1,Je ne peux pas t'entendre. 
1,Alice était bizarre hier.
1,Il est trop fort.
1,Cette histoire n'est pas très amusante.
1,Liu était le meilleur élève de ma classe. 
1,Les galettes des rois ce mangent en janvier. 
1,Je te verrai dans une heure.
1,"Quand j'avais dix ans, j'habitais au Japon."
1,Je n'ai pas besoin de ton aide. 
1,François m'a parlé du livre qu'il a emprunté à son père.
1,Peux-tu dire à ton frére de m'envoyer un message. 
1,Pourquoi ne t'es-tu pas défendu?
1,Ce n'est pas ta faute.
1,Il fait froid mais le soleil brille donc nous sortons nous promener.
1,C'est la meilleure tarte qu'il ai jamais mangée.
1,J'ai sauté du train avant qu'il ne soit arrêté et je me suis cassé le bras.
1,Ne me dérangez pas pendant que je travaille. 
1,L'arbre sous lequel nous jouons est haut.
1,"Si j'étais magicien, je changerais le monde."
1,Je n'ais pas aimé cette photo de moi.
1,Je me demande à qui nous pouvons faire confiance.
1,Adrien a mangé les biscuits et Guillaume a mangé les chocolats.
1,Cyrille m'a parlé de vous. 
0,Emma mange orange une.
0,J'ai visité la Tour Eiffel le dmanche dernier.
0,Le livre a été lu par mon sœur.
0,Maman ma dit de pas regarder trop de télévision.
0,N'hésitez pas me à poser des questions.
0,J'aime aller au cinema ave mon amis
0,Qu'est-ce que tu es dans la main?
0,Je veux devenir bientôt demain médecin.
0,Je n'ai pas mon livre hier.
0,J'aimerais la recontrer hier.
0,Est-ce que vous savoir parlez anglais?
0,Cette personne est comme un fils pour marcher Glynn.
0,Jean m'a dit que c'était ta décision manger.
0,Julian ont été très clair avec toi.
0,Une grenouille sortit de l'eau hier aujourd’hui .
0,Ces vêtements n'est même pas sales.
0,Tu ne travailles même aujourd'hui.
0,Il est relativement d'enseigner le français.
0,Les écoles doivent également enseigner aux étudients à apprendre.
0,J'observe les gens faire la les cuisine.
0,Nous n'avons tout le temps d'être seuls.
0,Justine conduit la voiture jusqu'aux Paris.
0,Vous devoir allez apprendre . 
0,Cette histoire n'est pas amusante très.
0,Vous êtes les seuls à gagner pouvoir.
